,name,class,confidence,box,image_name,model
4,person,0.0,0.68972,"{'x1': 46.54421, 'y1': 229.61859, 'x2': 150.46394, 'y2': 425.30981}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
5,person,0.0,0.6757,"{'x1': 380.34241, 'y1': 226.47314, 'x2': 508.27136, 'y2': 423.88818}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
6,person,0.0,0.63495,"{'x1': 336.29565, 'y1': 295.67712, 'x2': 441.16595, 'y2': 425.08575}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
7,teddy bear,77.0,0.62579,"{'x1': 328.52444, 'y1': 221.75067, 'x2': 388.56357, 'y2': 346.89874}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
8,person,0.0,0.60198,"{'x1': 0.24261, 'y1': 269.93182, 'x2': 67.59225, 'y2': 426.953}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
9,person,0.0,0.58511,"{'x1': 584.71808, 'y1': 88.85556, 'x2': 639.82587, 'y2': 333.54153}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
10,person,0.0,0.55562,"{'x1': 0.24797, 'y1': 141.62898, 'x2': 61.90139, 'y2': 283.15973}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
11,person,0.0,0.49142,"{'x1': 270.54828, 'y1': 48.65189, 'x2': 336.63141, 'y2': 231.16205}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
12,person,0.0,0.47287,"{'x1': 100.05057, 'y1': 122.09808, 'x2': 201.73074, 'y2': 289.86401}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
13,person,0.0,0.32789,"{'x1': 410.69092, 'y1': 55.76337, 'x2': 459.50549, 'y2': 215.8089}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
14,person,0.0,0.2515,"{'x1': 506.97827, 'y1': 104.46826, 'x2': 572.63489, 'y2': 202.25}",.\images\coco\000000012670.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.78347,"{'x1': 466.1319, 'y1': 4.72894, 'x2': 574.25873, 'y2': 252.66406}",.\images\coco\000000013546.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.78221,"{'x1': 456.36542, 'y1': 45.26172, 'x2': 474.72845, 'y2': 103.3587}",.\images\coco\000000013546.jpg,.\weights\yolo11n-coco-distilled.pt
2,car,2.0,0.66481,"{'x1': 472.84808, 'y1': 77.12192, 'x2': 520.13312, 'y2': 116.04221}",.\images\coco\000000013546.jpg,.\weights\yolo11n-coco-distilled.pt
3,bench,13.0,0.46934,"{'x1': 206.25845, 'y1': 112.96048, 'x2': 298.83472, 'y2': 143.35651}",.\images\coco\000000013546.jpg,.\weights\yolo11n-coco-distilled.pt
4,person,0.0,0.4641,"{'x1': 491.28625, 'y1': 51.1364, 'x2': 574.75793, 'y2': 254.66205}",.\images\coco\000000013546.jpg,.\weights\yolo11n-coco-distilled.pt
5,skateboard,36.0,0.29647,"{'x1': 496.42935, 'y1': 202.86121, 'x2': 536.84363, 'y2': 251.7926}",.\images\coco\000000013546.jpg,.\weights\yolo11n-coco-distilled.pt
0,cake,55.0,0.8929,"{'x1': 61.70593, 'y1': 32.93976, 'x2': 531.12256, 'y2': 418.43048}",.\images\coco\000000013597.jpg,.\weights\yolo11n-coco-distilled.pt
1,dining table,60.0,0.34298,"{'x1': 3.83667, 'y1': 0.61574, 'x2': 638.98206, 'y2': 423.71075}",.\images\coco\000000013597.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.8595,"{'x1': 359.49683, 'y1': 52.8064, 'x2': 486.54858, 'y2': 431.62518}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
1,person,0.0,0.8413,"{'x1': 78.92776, 'y1': 91.97969, 'x2': 261.98788, 'y2': 475.18524}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
2,person,0.0,0.81423,"{'x1': 255.26849, 'y1': 64.09045, 'x2': 336.28333, 'y2': 375.6048}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
3,person,0.0,0.62635,"{'x1': 149.39813, 'y1': 76.06889, 'x2': 260.85089, 'y2': 338.966}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
4,tv,62.0,0.43446,"{'x1': 567.25232, 'y1': 227.21716, 'x2': 618.93774, 'y2': 287.12708}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
5,remote,65.0,0.42836,"{'x1': 373.59515, 'y1': 141.87146, 'x2': 399.966, 'y2': 166.78931}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
6,person,0.0,0.39021,"{'x1': 148.98169, 'y1': 76.12283, 'x2': 218.97137, 'y2': 217.01904}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
7,backpack,24.0,0.34583,"{'x1': 0.0, 'y1': 399.97208, 'x2': 88.52792, 'y2': 477.30237}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
8,remote,65.0,0.30992,"{'x1': 373.71613, 'y1': 141.58661, 'x2': 392.35834, 'y2': 166.15466}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
9,person,0.0,0.27976,"{'x1': 149.5712, 'y1': 73.69354, 'x2': 221.62518, 'y2': 278.6142}",.\images\coco\000000013729.jpg,.\weights\yolo11n-coco-distilled.pt
0,person,0.0,0.76678,"{'x1': 269.60779, 'y1': 280.20786, 'x2': 301.99939, 'y2': 366.98312}",.\images\coco\000000013774.jpg,.\weights\yolo11n-coco-distilled.pt
0,couch,57.0,0.79045,"{'x1': 9.20187, 'y1': 198.72614, 'x2': 179.31667, 'y2': 313.74835}",.\images\coco\000000013923.jpg,.\weights\yolo11n-coco-distilled.pt
1,chair,56.0,0.66641,"{'x1': 212.44043, 'y1': 233.08337, 'x2': 336.68579, 'y2': 350.51941}",.\images\coco\000000013923.jpg,.\weights\yolo11n-coco-distilled.pt
2,chair,56.0,0.63969,"{'x1': 404.64087, 'y1': 256.23071, 'x2': 493.48914, 'y2': 348.53345}",.\images\coco\000000013923.jpg,.\weights\yolo11n-coco-distilled.pt
3,vase,75.0,0.59621,"{'x1': 380.31967, 'y1': 319.27243, 'x2': 402.02988, 'y2': 370.38235}",.\images\coco\000000013923.jpg,.\weights\yolo11n-coco-distilled.pt
4,potted plant,58.0,0.41323,"{'x1': 357.78192, 'y1': 280.05115, 'x2': 419.91962, 'y2': 341.25232}",.\images\coco\000000013923.jpg,.\weights\yolo11n-coco-distilled.pt
5,potted plant,58.0,0.26282,"{'x1': 357.64795, 'y1': 279.82513, 'x2': 419.54163, 'y2': 367.04926}",.\images\coco\000000013923.jpg,.\weights\yolo11n-coco-distilled.pt
