name,image_name,model,class
Birman,.\images\pet\Birman_93_jpg.rf.8ac958921bec4723564cabcfbe080afb.jpg,.\weights\yolo11n-pet-distilled.pt,1
Birman,.\images\pet\Birman_97_jpg.rf.5a0fd5220181a7321d062bc7380742d5.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_11_jpg.rf.1f3b38515a332a3582630ad873975b3d.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_12_jpg.rf.dd172cb5c03b930fc36509f071a28f74.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_17_jpg.rf.d9064616f64972562067ba3a5bc7aebe.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_18_jpg.rf.e658b70b83149ed58a319fdb57a144c5.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_20_jpg.rf.96e4bc0e7eca84a17d116245d12a3719.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_22_jpg.rf.499b4e767abf1b26f305a7e01ba4d006.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_24_jpg.rf.737a4b87af6413272ec416c090bc044b.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_28_jpg.rf.dd068f633921dfd2076575c5676ee227.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_29_jpg.rf.4306990eb9674f6c9fa46b799477411a.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_34_jpg.rf.65b4f3e54bc0a099dd20b17bef30c4f4.jpg,.\weights\yolo11n-pet-distilled.pt,1
Bombay,.\images\pet\Bombay_9_jpg.rf.b84ab3c7c8b631d25a872d4c3de0095d.jpg,.\weights\yolo11n-pet-distilled.pt,1
Egyptian Mau,.\images\pet\Bengal_58_jpg.rf.e55390a796d7786cf7ddf6dd1b9263ca.jpg,.\weights\yolo11n-pet-distilled.pt,1
Egyptian Mau,.\images\pet\Bengal_72_jpg.rf.189c87c364881687043280ab2b051b11.jpg,.\weights\yolo11n-pet-distilled.pt,1
Maine Coon,.\images\pet\Bengal_20_jpg.rf.562bf9de42957796d565e0b81ecdd919.jpg,.\weights\yolo11n-pet-distilled.pt,1
Persian,.\images\pet\Birman_82_jpg.rf.f9037d31e9da5925746f686faf6869b4.jpg,.\weights\yolo11s-pet.pt,1
Ragdoll,.\images\pet\Birman_2_jpg.rf.8c39b0825f952cd03d5887d229a44218.jpg,.\weights\yolo11s-pet.pt,1
Ragdoll,.\images\pet\Birman_35_jpg.rf.a4dec23ddc229517c6a418119fbc02cb.jpg,.\weights\yolo11s-pet.pt,1
Ragdoll,.\images\pet\Birman_63_jpg.rf.c906ddd08e4352b29753c34363a20bb2.jpg,.\weights\yolo11n-pet-distilled.pt,1
Ragdoll,.\images\pet\Birman_70_jpg.rf.ca3d1e511389881d28ea3465344839bc.jpg,.\weights\yolo11n-pet-distilled.pt,1
Russian Blue,.\images\pet\Bengal_72_jpg.rf.189c87c364881687043280ab2b051b11.jpg,.\weights\yolo11n-pet-distilled.pt,1
Samoyed,.\images\pet\Bengal_58_jpg.rf.e55390a796d7786cf7ddf6dd1b9263ca.jpg,.\weights\yolo11s-pet.pt,1
